"categoria","nivel","numero_de_empresas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_dificultaram_adocao_das_tecnologias_digitais_avancadas_total","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_dificultaram_adocao_das_tecnologias_digitais_avancadas_limitado_conhecimento_sobre_as_tecnologias_digitais_disponiveis","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_dificultaram_adocao_das_tecnologias_digitais_avancadas_ausencia_e_ou_incertezas_sobre_regulacoes_padroes_ou_normas_tecnicas_associadas_as_novas_tecnologias","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_dificultaram_adocao_das_tecnologias_digitais_avancadas_riscos_associados_a_seguranca_e_privacidade","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_dificultaram_adocao_das_tecnologias_digitais_avancadas_dificuldade_de_integracao_entre_as_areas_de_negocios","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_dificultaram_adocao_das_tecnologias_digitais_avancadas_dificuldade_de_integracao_com_fornecedores_e_ou_clientes","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_dificultaram_adocao_das_tecnologias_digitais_avancadas_falta_de_pessoal_qualificado_na_empresa","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_dificultaram_adocao_das_tecnologias_digitais_avancadas_limitada_oferta_de_pessoal_qualificado_no_mercado","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_dificultaram_adocao_das_tecnologias_digitais_avancadas_dificuldades_relacionadas_a_interoperabilidade_entre_diferentes_tecnologias_digitais","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_dificultaram_adocao_das_tecnologias_digitais_avancadas_altos_custos_das_solucoes_tecnologicas","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_dificultaram_adocao_das_tecnologias_digitais_avancadas_infraestrutura_de_telecomunicacoes_inadequada","numero_de_empresas_que_utilizaram_tecnologias_digitais_avancadas_fatores_que_dificultaram_adocao_das_tecnologias_digitais_avancadas_outros"
"Impressão e reprodução de gravações","categoria_detalhe",80.9999999999995,77.7624012123757,64.6152477742211,28.499166319495,18.7327671910859,27.0135370336975,32.671289543568,19.9414045274085,35.743425175182,30.9998884258891,31.0676945444633,58.0163138851633,24.8390863799262,1
"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis","categoria_detalhe",150.999999999994,144.019385034966,140.869532810079,52.3137162224002,45.4978718415955,65.3263377523192,79.3470981253063,42.6414784529029,81.8350350681563,76.0434620091037,59.9401139907806,111.702301964732,56.6899079113827,0
"Fabricação de produtos químicos","categoria_detalhe",661.999999999975,634.801130260774,569.055630125321,170.523923505228,184.361432083099,307.320421962554,231.619907724688,263.017815642308,272.068240078556,241.448518523521,231.824269193884,484.564800647429,230.870786421065,2
"Fabricação de produtos farmoquímicos e farmacêuticos","categoria_detalhe",132.999999999998,121.199469152238,111.446678673074,46.9801850173441,52.1746574719134,71.8524997847668,72.806245133653,76.3679792913375,63.8905639541837,47.393701371573,76.7673506427392,83.27056813854,35.9174693244253,1
"Fabricação de artigos de borracha e plástico","categoria_detalhe",752.000000000006,694.867267482375,652.18803045617,230.75221074364,165.021171776978,257.48509442725,293.67936807057,151.178320910593,369.679720634344,326.351496098051,304.387098814919,587.321871367473,252.738552787582,14.7476445685138
"Fabricação de produtos de minerais não-metálicos","categoria_detalhe",458.999999999967,391.603883005125,353.061849415193,173.688448051206,122.384313964165,161.035325638019,176.593860475504,107.277147544285,210.026519479584,219.015223270246,132.140843724175,294.795041746069,155.852985948279,1
"Metalurgia","categoria_detalhe",331.999999999996,284.231236252041,271.839363716804,78.4742512616963,51.6659784610303,95.9163768795726,112.01496035589,75.983908147372,155.215166978862,146.496838561934,119.297636023107,256.062056032507,103.702367202525,11.9229126476244
"Fabricação de produtos de metal","categoria_detalhe",604.99999999997,540.998184193112,523.829049938149,245.295398581551,166.322407770262,265.667153443628,257.10360202353,199.908695089973,334.44835762592,233.643546438864,267.808983896999,483.524474547624,219.362578053104,0
"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","categoria_detalhe",179.999999999992,171.577661579149,162.030507502509,74.5222120133853,79.8550966782873,101.002057047212,68.1740940799128,49.4223501252338,98.5395374423508,78.7773795032629,55.8072286336258,126.135241344594,41.9812407827899,0
"Fabricação de máquinas, aparelhos e materiais elétricos","categoria_detalhe",358.000000000012,347.211331658933,319.793635654629,143.599707995881,121.684890170928,174.85911447464,114.060227537646,110.364962984299,154.792468804232,129.422473185409,146.801095826328,268.334429548367,110.773623186221,1
"Fabricação de máquinas e equipamentos","categoria_detalhe",725.000000000008,691.67108689572,664.894820126852,291.656127893956,208.881913502866,354.552458294094,306.236705642465,205.111988801759,339.76426887574,290.328656168705,268.756212823245,579.335671915656,263.916074186035,25.4591416324601
"Fabricação de veículos automotores, reboques e carrocerias","categoria_detalhe",501.000000000008,444.073056608645,429.987010461943,221.391886327568,181.976928127491,280.986641122171,227.219499568756,177.047701740761,281.80366949704,241.250192229021,251.576223717201,318.360694012148,174.835087878332,1
"Fabricação de outros equipamentos de transporte","categoria_detalhe",119,116.999999999999,98.4171956738893,51.8153111424744,46.8238690344166,49.0327743284011,50.0094301370223,43.8710047596351,54.248977766372,57.7070957178861,67.9387228092186,85.5185453370581,40.6865133935215,0
"Fabricação de móveis","categoria_detalhe",384.000000000002,334.33652378091,316.391858998614,177.700943669183,92.8551438131065,91.2239845540943,162.461324401119,123.265600216629,166.571630574289,143.005743250763,113.723961926807,255.202105450581,98.7601986008179,1
"Fabricação de produtos diversos","categoria_detalhe",249.999999999992,220.785143353875,183.222277305172,57.6625413205203,70.4497668785827,109.984392499751,81.6645243691572,52.5500776303216,102.891932818129,82.4676503785392,76.1635700281673,131.992861018677,58.8621577841248,3.79271950403312
"Manutenção, reparação e instalação de máquinas e equipamentos","categoria_detalhe",348,297.084695271399,247.318878733627,155.557766367285,165.15565467418,141.050105343801,150.230495454215,113.232826895529,149.990609778339,105.206734892599,152.189228438353,221.898497202111,158.565459618973,2
